regularization,accuracy,precision,recall,f1
None,0.9854,0.9854704238640183,0.9853126490132628,0.9853454930854847
L2,0.9854,0.9854669439376676,0.9852257601965337,0.9853025537199731
Dropout,0.9878,0.9878516927305077,0.9877155969736469,0.9877618518195522
L2+Dropout,0.9869,0.9869484075094433,0.9867900615424062,0.9868610950190476
